Question,A,B,C,D,Correct Answer,Documents,LLM Answer,Cluster
How can you manage secrets in Hugging Face Spaces?,By storing them in public environment variables,By adding them in the Space's Settings page as private secrets,By hardcoding them directly into the application,By encrypting them manually in the source code,B,373,Secrets can be managed in Hugging Face Spaces by adding them in the Settings page as private secrets (373).,20
What is the purpose of the `language` field in Hugging Face datasets?,To specify the dataset's processing framework,To indicate the dataset's languages for discoverability,To categorize datasets by task type,To automate dataset preprocessing,B,509,"The `language` field indicates the dataset's languages, improving discoverability and organization on the Hugging Face Hub (509).",20
What is the main advantage of duplicating a Space in Hugging Face?,It allows the use of static HTML templates,It enables fast setup of a new demo using an existing template,It eliminates the need for additional environment variables,It automatically assigns premium hardware resources,B,373,Duplicating a Space allows for fast setup of a new demo by reusing an existing template (373).,20
What metadata should you add to list linked models in a Hugging Face Space?,Framework and SDK,Tasks and evaluations,Models and datasets keys in the README file,System requirements and hardware,C,373,"To list linked models, use the `models` and `datasets` keys in the Space's README file (373).",20
What is the typical use case for the `facebook/fasttext-language-identification` model?,Preprocessing text for training,Identifying languages in datasets with unknown fields,Generating embeddings for zero-shot tasks,Performing speech-to-text transcription,B,509,The `facebook/fasttext-language-identification` model is used to identify languages in datasets with incomplete metadata (509).,20
Which hardware tier provides persistent storage for Hugging Face Spaces?,CPU Basic,Nvidia T4 - Small,Nvidia A10G - Large,Medium Storage Tier,D,373,The Medium Storage Tier provides persistent storage for Hugging Face Spaces (373).,20
What happens to a Space running on free hardware when unused?,It continues to run indefinitely,It pauses and stops executing,It automatically upgrades to paid hardware,It reduces available memory to save resources,B,373,Spaces running on free hardware pause and stop executing when unused (373).,20
What tool does Hugging Face recommend for identifying languages in multilingual datasets?,Google Translate,BERT embeddings,FastText,Word2Vec,C,509,Hugging Face recommends using FastText for identifying languages in multilingual datasets (509).,20
How can you prevent hardcoded secrets in Hugging Face Spaces?,By encrypting them in the source code,By using public environment variables,By setting them as private secrets in the Settings page,By linking them in the dataset card,C,373,Hardcoded secrets can be prevented by setting them as private secrets in the Settings page of the Space (373).,20
Which SDK is supported for creating Spaces on Hugging Face?,Flask,Gradio,PyTorch Lightning,TensorFlow,B,373,Gradio is one of the SDKs supported for creating Spaces on Hugging Face (373).,20
What action should be taken for datasets without language metadata?,Ignore them as irrelevant,Manually review and add the `language` field,Automatically assign the default language,Delete the datasets from the Hub,B,509,"Datasets without language metadata should be manually reviewed, and the `language` field should be added (509).",20
How can you clone a Hugging Face Space repository locally?,Through the Space's metadata file,By clicking 'Clone repository' in the Space page,By adding the repository link to a config file,By downloading a ZIP file of the repository,B,373,A Hugging Face Space repository can be cloned locally by clicking 'Clone repository' in the Space page (373).,20
What is the recommended way to specify multiple languages in a dataset?,Add separate dataset cards for each language,Include all languages in the `language` field of the dataset card,Create an individual column for each language,Use a third-party language tagging tool,B,509,"To specify multiple languages, include them in the `language` field of the dataset card (509).",20
What is a key feature of the Hugging Face Spaces lifecycle management?,Unlimited runtime for free hardware,Auto-scaling of hardware resources,Spaces pause automatically when unused,Persistent storage for free accounts,C,373,"A key feature is that Spaces pause automatically when unused, ensuring efficient resource management (373).",20
Why is it important to add language metadata to Hugging Face datasets?,It enables automated preprocessing pipelines,It improves dataset discoverability by language,It enhances dataset visualization capabilities,It ensures compatibility with all models,B,509,"Adding language metadata improves dataset discoverability by language, aiding users in locating relevant datasets (509).",20
Which storage tier includes 1TB persistent storage on Hugging Face Spaces?,Ephemeral storage,Small storage tier,Large storage tier,Medium storage tier,C,373,The Large storage tier includes 1TB of persistent storage (373).,20
What type of metadata is essential for datasets on text-related tasks?,License type,Language field,Dataset size,Number of downloads,B,509,The language field is essential metadata for datasets related to text tasks (509).,20
